questionId,questionTitle,questionDescription,inputFormat,outputFomat,difficulty,tags,gitUrl
1,ArrayListOperation,"Given an ArrayList of�N�lowercase characters. The task is to�count frequency�of elements in the list.
Note: use add() to append element in the list and contains() to check an element is present or not in the list and collections.frequency() to find the frequency of the element in the list.
Your task is to complete the functions insert() and freq() which are used to insert and find frequency of element respectively.","First line of testcase contains T, number of testcases. For each testcase, first line contains number of queries Q. Each query may be any one of the two type:
1. ""i"" with ""c"" : insert the element ""c"" into the ArrayList
2. ""f"" with ""c"": find the frequency of ""c"" in the ArrayList.


Constraints:
1 <= T <= 100
1 <= N <= 105
1 <= Q <= 102
Example:
Input:
2
6
i g i e i e i k i s f e
4
i c i p i p f f","Output Format:
For each testcase, output the frequency of elements. Print ""Not Present"" if element is not present in the list else its frequency in new line for every query.
22
Not Present
Explanation:
Testcase 1: Inserting g, e, e, k, s into the list. Frequency of e is 2 in the list.
Testcase 2: Inserting c, p, p into the list. Frequency of f is 0 in the list.
",Intermediate,ArrayList,https://github.com/aroranamita09/ArrayListOperation
2,Check-Palindrome and reverse it,Write a Java method to Reverse the given input & Check if it is a Palindrome.,12321,yes,Beginner,If-else statement,https://github.com/aroranamita09/Check-Palindrome-and-reverse-it.git
3,PowerOfFour,Write a Java method to check if a given number is power of 4,64,yes,Beginner,Conditional Statements,https://github.com/aroranamita09/PowerOfFour.git
4,Member variables,"Create a class named Member with Name, age, Salary as its variable, write an other class named Member Variable that creates an instance of the Member class, initialises its member variables, and then displays the value of each member variable. ","Member with Name, age, Salary as its variable", Members Name: Harry Potter  Members Age: 30  Members Salary: 2500.3,Beginner,Class,https://github.com/aroranamita09/Member-variables.git
5,Rotate Arrays,"Given an array of size N, rotate it by D elements. 
2
5 2
1 2 3 4 5 
10 3
2 4 6 8 10 12 14 16 18 20","The first line of the input contains T denoting the number of testcases. First line of test case is the number of elements N, next line contains D. Subsequent line will be the array elements.","For each testcase, in a new line, output the rotated array.

3 4 5 1 2
8 10 12 14 16 18 20 2 4 6

",Beginner,ArrayList,https://github.com/aroranamita09/RotateArray.git
6,EvenNumTest,"Write a boolean method called isEven() in a class called EvenNumTest, which takes an int as input and returns true if the input is even. The signature of the method is as follows: public static boolean isEven(int number)",Int 3,FALSE,Beginner,If-else statement,https://github.com/aroranamita09/EvenNumTest.git
7,Average,"Write a program, which reads number of students and n grades as input (of int between 0 and 100, inclusive) and displays the average, minimum and maximum.Your program shall check for valid input. You should keep all the grades in an int[] and use a method for each of the computations",45 68 23,"Average:45.33
Minimum:23
Maximum:68",Beginner,Object,https://github.com/aroranamita09/Average.git
8,Factorial,"Write a program to list all the factorials, that can be expressed as an int (i.e., 32-bit signed integer). ",Your output shall look like: Int Factorials:      The factorial of 1 is 1      The factorial of 2 is 2           ..........      The factorial of 12 is 479001600      he factorial of 13 is out of range Modify your program and add a method called longFactorial to list all the factorial that can be expressed as a long (64-bit signed integer).The maximum value for long is kept in a constant called Long.MAX_VALUE. ,your output shall look like: Long Factorials:         The factorial of 1 is is 1.         The factorial of 2 is is 2.                 ..........         The factorial of 20 is is 2432902008176640000.         The factorial of 21 is out of range.,Beginner,Operations on Collections,https://github.com/aroranamita09/Factorial.git
9,Ugly Numbers,"Ugly numbers are numbers whose only prime factors are 2, 3 or 5. The sequence 1, 2, 3, 4, 5, 6, 8, 9, 10, 12, 15, � shows the first 11 ugly numbers. By convention, 1 is included. Write a program to find Nth Ugly Number.","The first line of input contains an integer T denoting the number of test cases. T testcases follow. For each testcase there is one line of input that contains the number N.
",Print the�Nth�Ugly Number.,Intermediate,Array,https://github.com/aroranamita09/Ugly-Numbers.git
10,Test the range,Write a program which accepts an integer number as input from the user and perform the following conditional checks:,"a. if number is odd and exists between 20 to 30 
b.  if number is even and exists between 20 and 30", a. Print Tom    b. Print Jerry,Beginner,Language Basics,https://github.com/aroranamita09/Test-the-range.git
